Monat;Kanal;Plan_Budget_EUR;Ist_Ausgabe_EUR;Abweichung_EUR;Abweichung_Prozent
Juli;Meta Ads;15000;16240;1240;8,3%
Juli;Google Ads;12000;11380;-620;-5,2%
Juli;TikTok;8000;8700;700;8,8%
Juli;YouTube;6000;5600;-400;-6,7%
Juli;Newsletter;1500;780;-720;-48,0%
Juli;OOH Digital;10000;9200;-800;-8,0%
August;Meta Ads;15000;18900;3900;26,0%
August;Google Ads;12000;12640;640;5,3%
August;TikTok;8000;7420;-580;-7,3%
August;YouTube;6000;6810;810;13,5%
August;Newsletter;1500;1120;-380;-25,3%
August;OOH Digital;10000;10000;0;0,0%
September;Meta Ads;15000;14100;-900;-6,0%
September;Google Ads;12000;13280;1280;10,7%
September;TikTok;8000;9340;1340;16,8%
September;YouTube;6000;5240;-760;-12,7%
September;Newsletter;1500;1690;190;12,7%
September;OOH Digital;10000;7800;-2200;-22,0%
Quartal Q3;Gesamt;157500;160240;2740;1,7%
