Datum;Marke;Plattform;Format;Reichweite;Likes;Kommentare;Shares;Saves;Engagement_Rate
2026-06-02;Kornwerk;Instagram;Reel;48200;3120;142;389;512;8,66%
2026-06-04;Kornwerk;Instagram;Carousel;31400;1840;76;104;298;7,39%
2026-06-06;Kornwerk;LinkedIn;Single Image;12800;410;58;71;33;4,55%
2026-06-09;Quellgold;Instagram;Reel;92600;6740;318;1204;890;9,88%
2026-06-11;Quellgold;TikTok;Video;214300;18420;742;3860;1120;11,26%
2026-06-13;Quellgold;Instagram;Story;38900;0;0;0;0;2,10%
2026-06-16;VELOMO;TikTok;Video;178400;14210;603;2940;760;10,38%
2026-06-18;VELOMO;Instagram;Reel;56700;4180;211;540;418;9,42%
2026-06-20;VELOMO;LinkedIn;Text;9400;286;47;38;12;4,07%
2026-06-23;Gruenwerk;Instagram;Carousel;27300;1520;63;88;241;6,99%
2026-06-25;Gruenwerk;Pinterest;Pin;41200;980;14;312;604;4,64%
2026-06-27;Gruenwerk;Instagram;Reel;39800;2610;97;276;340;8,35%
2026-06-30;Kornwerk;Instagram;Reel;51600;3540;168;412;588;8,74%
2026-07-02;Quellgold;TikTok;Video;198700;16840;689;3410;1040;11,05%
2026-07-04;VELOMO;Instagram;Reel;61200;4620;238;601;452;9,66%
